Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Chất liệu dây (product.metafields.custom.bandmaterial),Màu mặt số (product.metafields.custom.casecolor),discount (product.metafields.custom.discount),Hình dạng mặt số (product.metafields.custom.faceshape),Kích thước mặt số (product.metafields.custom.facesize),Giới tính (product.metafields.custom.gender),Màu dây (product.metafields.custom.m_u_d_y),Product Table Data (product.metafields.custom.product_table_data),product_views (product.metafields.custom.product_views),qty (product.metafields.custom.qty),yty (product.metafields.custom.yty),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Band color (product.metafields.shopify.band-color),Bracelet design (product.metafields.shopify.bracelet-design),Carry options (product.metafields.shopify.carry-options),Case color (product.metafields.shopify.case-color),Clasp type (product.metafields.shopify.clasp-type),Closure type (product.metafields.shopify.closure-type),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dial color (product.metafields.shopify.dial-color),Earring design (product.metafields.shopify.earring-design),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear frame shape (product.metafields.shopify.eyewear-frame-shape),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Lens coating (product.metafields.shopify.lens-coating),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Material (product.metafields.shopify.material),Necklace design (product.metafields.shopify.necklace-design),Occasion style (product.metafields.shopify.occasion-style),Optical frame design (product.metafields.shopify.optical-frame-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Wallet features (product.metafields.shopify.wallet-features),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
versace-medusa-eclipse-ve5f00126,Đồng Hồ Nữ Medusa Eclipse,"<p><b>Medusa Eclipse</b> phản ánh vẻ đẹp thanh lịch bền vững trong phong cách. Thiết kế mềm mại giúp đồng hồ không bị lỗi mốt. Một lựa chọn ổn định.</p>
<p><strong>Thông số sản phẩm</strong></p>
<ul>
<li>Mã SKU: VE5F00126</li>
<li>Giới tính: Nữ</li>
<li>Chất liệu vỏ máy: Thép không gỉ</li>
<li>Viền đồng hồ: Bạc</li>
<li>Đường kính: 28 mm</li>
<li>Màu mặt số: trắng</li>
<li>Chất liệu kính: Sapphire</li>
<li>Chống nước: 3ATM</li>
<li>Máy: Quartz</li>
<li>Dây đeo: Dây kim loại màu trắng</li>
<li>Xuất xứ thương hiệu: Ý</li>
           <li>Sản xuất tại: Thụy Sĩ</li>
</ul>",VERSACE,Apparel & Accessories > Jewelry > Watches,Watches,"28 mm, 3ATM, Dây kim loại, Nữ, VERSACE, Watch, Watches",false,Title,Default Title,,,,,,,,VE5F00126,0.0,shopify,5,deny,manual,30000000,60000000,true,true,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00126_1.png?v=1781717691,1,"",false,VERSACE Đồng Hồ Nữ Medusa Eclipse VE5F00126 ₫30.000.000 - L&M Luxury Timepieces,Mua Đồng Hồ Nữ Medusa Eclipse VERSACE giá chỉ ₫30.000.000 hàng chính hãng và giao hàng miễn phí toàn quốc.,201,,,,,,,,,,,Dây kim loại,Trắng,,Mặt tròn,28 mm,Nữ,Trắng,,,,,,,adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,analog,waterproof; quartz-movement,,,,,,,g,,,true,,,draft
versace-medusa-eclipse-ve5f00126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00126_2.png?v=1781717692,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00126_3.png?v=1781717692,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00126_4.png?v=1781717692,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00226,Đồng Hồ Nữ Medusa Eclipse,"<p><b>Medusa Eclipse</b> mang đến cảm giác sang trọng nhẹ nhàng trong từng khoảnh khắc. Cảm giác đeo êm ái giúp bạn luôn cảm thấy dễ chịu. Phụ kiện phù hợp với nhịp sống tinh tế.</p>
<p><strong>Thông số sản phẩm</strong></p>
<ul>
<li>Mã SKU: VE5F00226</li>
<li>Giới tính: Nữ</li>
<li>Chất liệu vỏ máy: Thép không gỉ</li>
<li>Viền đồng hồ: Vàng</li>
<li>Đường kính: 28 mm</li>
<li>Màu mặt số: trắng</li>
<li>Chất liệu kính: Sapphire</li>
<li>Chống nước: 3ATM</li>
<li>Máy: Quartz</li>
<li>Dây đeo: Dây kim loại màu vàng</li>
<li>Xuất xứ thương hiệu: Ý</li>
           <li>Sản xuất tại: Thụy Sĩ</li>
</ul>",VERSACE,Apparel & Accessories > Jewelry > Watches,Watches,"28 mm, 3ATM, Dây kim loại, Nữ, VERSACE, Watch, Watches",false,Title,Default Title,,,,,,,,VE5F00226,0.0,shopify,5,deny,manual,30000000,60000000,true,true,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00226_1.png?v=1781717698,1,"",false,VERSACE Đồng Hồ Nữ Medusa Eclipse VE5F00226 ₫30.000.000 - L&M Luxury Timepieces,Mua Đồng Hồ Nữ Medusa Eclipse VERSACE giá chỉ ₫30.000.000 hàng chính hãng và giao hàng miễn phí toàn quốc.,201,,,,,,,,,,,Dây kim loại,Trắng,,Mặt tròn,28 mm,Nữ,Vàng Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
versace-medusa-eclipse-ve5f00226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00226_2.png?v=1781717699,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00226_3.png?v=1781717699,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00226_4.png?v=1781717699,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versace-medusa-eclipse-ve5f00326,Đồng Hồ Nữ Medusa Eclipse,"<p><b>Medusa Eclipse</b> dành cho người phụ nữ yêu vẻ đẹp bền vững và tinh tế. Thiết kế mềm mại giúp đồng hồ hòa hợp với nhiều trang phục. Một lựa chọn mang tính đồng hành lâu dài.</p>
<p><strong>Thông số sản phẩm</strong></p>
<ul>
<li>Mã SKU: VE5F00326</li>
<li>Giới tính: Nữ</li>
<li>Chất liệu vỏ máy: Thép không gỉ</li>
<li>Viền đồng hồ: Vàng</li>
<li>Đường kính: 28 mm</li>
<li>Màu mặt số: đen</li>
<li>Chất liệu kính: Sapphire</li>
<li>Chống nước: 3ATM</li>
<li>Máy: Quartz</li>
<li>Dây đeo: Dây kim loại màu vàng</li>
<li>Xuất xứ thương hiệu: Ý</li>
           <li>Sản xuất tại: Thụy Sĩ</li>
</ul>",VERSACE,Apparel & Accessories > Jewelry > Watches,Watches,"28 mm, 3ATM, Dây kim loại, Nữ, VERSACE, Watch, Watches",false,Title,Default Title,,,,,,,,VE5F00326,0.0,shopify,5,deny,manual,30000000,60000000,true,true,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00326_1.png?v=1781717704,1,"",false,VERSACE Đồng Hồ Nữ Medusa Eclipse VE5F00326 ₫30.000.000 - L&M Luxury Timepieces,Mua Đồng Hồ Nữ Medusa Eclipse VERSACE giá chỉ ₫30.000.000 hàng chính hãng và giao hàng miễn phí toàn quốc.,201,,,,,,,,,,,Dây kim loại,Đen,,Mặt tròn,28 mm,Nữ,Vàng Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
versace-medusa-eclipse-ve5f00326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0862/7906/1824/files/VE5F00326_2.png?v=1781717703,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
